player,xAper90,PassCompletion
Hakim Ziyech,0.69,78
Kevin De Bruyne,0.65,82
Bruno Fernandes,0.18,76
Luis Alberto,0.32,84
Papu Gomez,0.33,86
Angel Di Maria,0.8,79
Thomas Mueller,0.63,78
Phillipe Coutinho,0.26,84
Jadon Sancho,0.4,85
Christopher Nkunku,0.48,86
David Silva,0.31,89
Riyad Mahrez,0.45,90
Paul Pogba,0.19,86
James Maddison,0.24,83
Lionel Messi,0.53,83
Mikel Oyarzabal,0.24,78
Santi Carzola,0.31,87
Angel Correa,0.2,78
Isco,0.17,88
Eden Hazard,0.27,86
Thorgan Hazard,0.28,81
Portu,0.21,74
Martin Odegaard,0.27,85
Duscan Tadic,0.53,77
